bucket,name,amount,deadline,score,effort,trust_tier,reason,url
A,Glasgow College of Science & Engineering Excellence Scholarship,"£5,000 - £10,000 tuition fee discount",2026-05-31,245,30,S,🎯 Target university (Glasgow),https://www.gla.ac.uk/scholarships/scienceengineeringexcellence/
B,Glasgow Global Leadership Scholarship 2026,"£10,000 tuition fee discount",TBD (Summer 2026),205,30,S,🎯 Target university (Glasgow),https://www.gla.ac.uk/scholarships/globalleadershipscholarship/
B,Chevening Scholarships 2027/28,Full tuition + living costs + flights,2026-11-03,110,60,A,🇬🇧 UK scholarship,https://www.chevening.org/scholarships/
B,GREAT Scholarships,"£10,000 minimum",2026-05-15,60,40,B,🇬🇧 UK scholarship,https://study-uk.britishcouncil.org/scholarships/great-scholarships
B,£16m awarded to projects across the UK in our latest funding round,£16,Check website,30,65,C,🇬🇧 UK scholarship,https://www.wolfson.org.uk/
B,Apply for funding,£4,Check website,30,30,C,🇬🇧 UK scholarship,https://www.wolfson.org.uk/
B,Latest DCMS/Wolfson funding awarded to 24 museums to champion the heritage on our doorstep,£4,Check website,30,50,C,🇬🇧 UK scholarship,https://www.wolfson.org.uk/
C,Glasgow MSc International & Comparative Education Scholarship,"£5,000 tuition fee discount",2026-07-31,105,10,S,🎯 Target university (Glasgow),https://www.gla.ac.uk/scholarships/mscinternationalandcomparativeeducationscholarship/
C,Glasgow GREAT Scholarships 2026,"£10,000 tuition discount",2026-04-30,105,25,S,🎯 Target university (Glasgow),https://www.gla.ac.uk/scholarships/greatscholarships2026/
C,Commonwealth Scholarships (Taught Masters),Full tuition + stipend + travel,2026-10-18,80,50,S,🇬🇧 UK scholarship,https://cscuk.fcdo.gov.uk/scholarships/commonwealth-masters-scholarships/
X,Rotary Foundation Global Grant Scholarship,"$30,000+ (varies by district)",2026-03-31,35,50,C,🌍 International students,https://www.rotary.org/en/our-programs/scholarships
